City,State,Last Name ,"First Name, Middle In.",Decisions,% Grants,% Denials
Adelanto,CA,Lee, Amy T.,367,8.2,91.8
Adelanto,CA,Everett, Timothy R.,290,8.6,91.4
Adelanto,CA,McGrail, Elizabeth H.,282,11,89
Adelanto,CA,Dorfman, Arlene E.,136,14.7,85.3
Adelanto,CA,Burke, David H.,216,23.6,76.4
Adelanto,CA,Laurent, Scott D.,129,24.8,75.2
Arlington,VA,Harris, Rodger C.,312,11.5,88.5
Arlington,VA,Owens, Robert P.,118,60.2,39.8
Arlington,VA,Snow, Thomas G.,1024,70.5,29.5
Arlington,VA,Iskra, Wayne R.,487,74.5,25.5
Arlington,VA,Burman, Lawrence O.,789,77.1,22.9
Arlington,VA,Bryant, John Milo,499,82.4,17.6
Arlington,VA,Schmidt, Paul W.,488,82.6,17.4
Atlanta,GA,Wilson, Earle B.,903,2.3,97.7
Atlanta,GA,Cassidy, William A.,195,5.6,94.4
Atlanta,GA,Garcia, Madeline,153,11.8,88.2
Atlanta,GA,Pelletier, Jonathan D.,333,15,85
Atlanta,GA,Houser," Wayne K., Jr.",154,29.2,70.8
Aurora,CO,Vandello, James P.,108,3.7,96.3
Aurora,CO,Livingston, Donn L.,125,22.4,77.6
Baltimore,MD,Williams, Phillip T.,923,41.8,58.2
Baltimore,MD,Kessler, Elizabeth A.,542,48.9,51.1
Baltimore,MD,Dornell, Lisa,547,56.7,43.3
Baltimore,MD,Gossart," John F., Jr.",371,57.1,42.9
Baltimore,MD,Crosland, David W.,929,58.8,41.2
Baltimore,MD,Slavin, Denise N.,156,97.4,2.6
Bloomington,MN,Nickerson," William J., Jr.",253,2.8,97.2
Bloomington,MN,Olmanson, Kristin W.,375,26.4,73.6
Bloomington,MN,Conley de Castro, Susan E.,425,28.2,71.8
Boston,MA,Harris, Rodger C.,153,43.1,56.9
Boston,MA,O'Malley, Brenda M.,447,55.7,44.3
Boston,MA,Feder, Robin E.,431,61,39
Boston,MA,Shapiro, Leonard I.,275,61.5,38.5
Boston,MA,Klein, Eliza C.,107,63.6,36.4
Boston,MA,Gagnon, Paul M.,284,65.5,34.5
Boston,MA,D'Angelo, Matthew J.,392,69.1,30.9
Boston,MA,O'Sullivan, Maureen S.,155,80.6,19.4
Buffalo,NY,Connelly, Steven J.,202,12.9,87.1
Buffalo,NY,Reid, John B.,181,17.1,82.9
Buffalo,NY,Montante," Philip J., Jr.",174,23.6,76.4
Charlotte,NC,Pettinato, Barry J.,523,15.5,84.5
Charlotte,NC,Couch, V. Stuart,386,18.4,81.6
Charlotte,NC,Holmes-Simmons, Theresa,282,28.4,71.6
Chicago,IL,DiMarzio, Philip L.,187,4.3,95.7
Chicago,IL,Zerbe, Craig M.,310,42.3,57.7
Chicago,IL,Vinikoor, Robert D.,527,45.2,54.8
Chicago,IL,Perez-Guzman, Virginia,346,55.5,44.5
Chicago,IL,Giambastiani, Jennie L.,354,56.2,43.8
Chicago,IL,McNulty, Sheila,228,57.5,42.5
Chicago,IL,Cuevas, Carlos,291,59.1,40.9
Cleveland,OH,Evans," D. William, Jr.",436,10.1,89.9
Cleveland,OH,Janas, Thomas,412,18,82
Cleveland,OH,Brown, Alison M.,534,37.5,62.5
Dallas,TX,Sims, Deitrich H.,251,6.8,93.2
Dallas,TX,Kimball, R. Wayne,393,20.6,79.4
Dallas,TX,Ozmun, Richard R.,313,21.7,78.3
Dallas,TX,Baird, Michael P.,254,30.7,69.3
Denver,CO,Tsankov, Mimi,194,36.1,63.9
Denver,CO,Livingston, Donn L.,304,41.8,58.2
Denver,CO,Cordova, David J.,177,46.9,53.1
Denver,CO,Trujillo, Eileen R.,204,64.7,35.3
Detroit,MI,Hacker, Elizabeth A.,104,18.3,81.7
Detroit,MI,Newberry, Robert D.,320,19.1,80.9
Detroit,MI,Nettles, Marsha K.,200,25,75
Detroit,MI,Paruch, David H.,328,29,71
El Paso,TX,Mahtabfar, Sunita B.,159,0.6,99.4
El Paso,TX,Roepke, Thomas C.,233,1.3,98.7
El Paso,TX,Gonzalez, Guadalupe R.,101,3,97
El Paso,TX,Ruhle, Stephen M.,231,3.9,96.1
El Paso,TX,Abbott, William L.,318,6.3,93.7
Elizabeth,NJ,Tadal, Mirlande,496,27.8,72.2
Elizabeth,NJ,Harbeck, Dorothy A.,384,55.2,44.8
Eloy,AZ,DeVitto, James Alan,153,2.6,97.4
Eloy,AZ,Feldman, Irene C.,195,5.6,94.4
Eloy,AZ,Spencer-Walters, Linda Inez,236,8.5,91.5
Eloy,AZ,Phelps, Richard A.,167,9.6,90.4
Florence,AZ,Taylor, Bruce A.,244,8.2,91.8
Florence,AZ,Arellano, Silvia R.,163,9.8,90.2
Harlingen,TX,Ayala, David,257,41.2,58.8
Harlingen,TX,Tovar, Eleazar,136,52.2,47.8
Hartford,CT,Straus, Michael W.,563,27.4,72.6
Hartford,CT,Verrillo, Philip,329,55.3,44.7
Honolulu,HI,Wagner," Clarence M., Jr.",282,63.5,36.5
Honolulu,Hi,Beamer, Dayna M.,607,73.6,26.4
Houston,TX,Harris, Monique,501,4,96
Houston,TX,Bhagat, Nimmo,635,11.5,88.5
Houston,TX,Luis, Lisa,111,12.6,87.4
Houston,TX,Endelman, Gary E.,643,13.8,86.2
Houston,TX,Walton, Richard D.,224,14.3,85.7
Houston,TX,Brisack, Chris A.,299,20.7,79.3
Houston,TX,Rankin Yates, Clarease Rankin,261,33.3,66.7
Houston,TX,Rose, Howard,110,0,100
Houston,TX,Walton, Richard D.,137,3.6,96.4
Houston,TX,Greenstein, Saul,218,11.9,88.1
Houston,TX,Benton, Jimmie L.,116,12.9,87.1
Imperial,CA,Staton, Jack W.,259,13.5,86.5
Kansas City,MO,O'Malley, John R.,248,30.6,69.4
Kansas City,MO,Davis, Paula V.,314,36.6,63.4
Las Vegas,NV,Romig, Jeffrey L.,493,11.4,88.6
Las Vegas,NV,Mullins, Ronald L.,145,16.6,83.4
Los Angeles,CA,Munoz, Lorraine J.,759,2.9,97.1
Los Angeles,CA,Ruane, Rachel A.,216,7.4,92.6
Los Angeles,CA,Walsh, John F.,367,8.4,91.6
Los Angeles,CA,Anderson, David C.,213,10.3,89.7
Los Angeles,CA,Riley, Kevin W.,730,10.4,89.6
Los Angeles,CA,Naselow-Nahas, Tara,1014,14,86
Los Angeles,CA,Maury, Carlos E.,105,14.3,85.7
Los Angeles,CA,Ho, Anna,285,23.5,76.5
Los Angeles,CA,Tabaddor, Afsaneh Ashley,598,26.3,73.7
Los Angeles,CA,O'Connor, Lee A.,428,26.6,73.4
Los Angeles,CA,Peters, Rose C.,317,29,71
Los Angeles,CA,Giattina, Anthony T.,265,29.1,70.9
Los Angeles,CA,Latimore, Jan D.,385,29.4,70.6
Los Angeles,CA,Rooyani, Rodin,391,29.9,70.1
Los Angeles,CA,Bither, Christine A.,247,32.4,67.6
Los Angeles,CA,Travieso, Frank M.,385,35.6,64.4
Los Angeles,CA,Parchert, Brett M.,574,37.8,62.2
Los Angeles,CA,Stancill, Christine E.,735,40.8,59.2
Los Angeles,CA,Hong, J. Traci,109,43.1,56.9
Los Angeles,CA,Little, Monica M.,465,43.4,56.6
Los Angeles,CA,Dunkel-Bradley, Dorothy A.,339,43.7,56.3
Los Angeles,CA,Burke, David H.,150,44,56
Los Angeles,CA,Bank, Ira E.,451,44.3,55.7
Los Angeles,CA,Sitgraves, Darcy D.,495,44.6,55.4
